FID,COUNTRY,ISO_CODE,ISO_CC,ISO_SUB,NUTS_ID,CNTR_CODE,EFAS_name,ID
343,Russian Federation,RULEN,RU,LEN, , ,Leningradskaya oblast,627
649,Russian Federation,RULEN,RU,LEN, , ,Leningradskaya oblast,628
650,Russian Federation,RULEN,RU,LEN, , ,Leningradskaya oblast,629
1420, , , , ,ES413,ES,Leon,1427
651,Albania,AL8,AL,8, , ,Lezhe,630
652,Albania,AL8,AL,8, , ,Lezhe,631
653,Albania,AL8,AL,8, , ,Lezhe,632
1632, , , , ,PT185,PT,Leziria do Tejo,1655
654,Lebanon,LBAS,LB,AS, , ,Liban-Nord,633
655,Lebanon,LBAS,LB,AS, , ,Liban-Nord,634
656,Lebanon,LBJA,LB,JA, , ,Liban-Sud,635
657,Lebanon,LBJA,LB,JA, , ,Liban-Sud,636
1379, , , , ,CZ051,CZ,Liberecky kraj,1386
658,Croatia,HR09,HR,9, , ,Licko-senjska zupanija,637
659,Croatia,HR09,HR,9, , ,Licko-senjska zupanija,638
660,Croatia,HR09,HR,9, , ,Licko-senjska zupanija,639
344,Liechtenstein,LI,LI, , , ,Liechenstein,640
661,Latvia,LVLPX,LV,LPX, , ,Liepaja,641
662,Latvia,LVLE,LV,LE, , ,Liepajas Aprinkis,642
663,Italy,IT42,IT,42, , ,Liguria,643
664,Italy,IT42,IT,42, , ,Liguria,644
665,Italy,IT42,IT,42, , ,Liguria,645
911, , , , ,ITC3,IT,Liguria,1216
666,Latvia,LVLM,LV,LM, , ,Limbazu Aprinkis,646
941, , , , ,NL42,NL,Limburg (NL),1246
974, , , , ,UKF3,UK,Lincolnshire,1302
667,Russian Federation,RULIP,RU,LIP, , ,Lipetskaya oblast,647
668,The Former Yugoslav Republic of Macedonia,MK48,MK,48, , ,Lipkovo,648
68,Portugal,PT11,PT,11, , ,Lisboa,63
69,Portugal,PT11,PT,11, , ,Lisboa,64
345,Slovenia,SI063,SI,63, , ,Ljutomer,649
1436, , , , ,ES513,ES,Lleida,1443
942, , , , ,PL11,PL,Lodzkie,1247
1547, , , , ,FR715,FR,Loire,1556
1514, , , , ,FR511,FR,Loire-Atlantique,1523
1494, , , , ,FR246,FR,Loiret,1503
1493, , , , ,FR245,FR,Loir-et-Cher,1502
912, , , , ,ITC4,IT,Lombardia,1217
62,Morocco,MA04,MA,4, , ,LOriental,56
346,France,FRM,FR,M, , ,Lorraine,650
669,Armenia,AMLO,AM,LO, , ,Lory,651
670,Slovenia,SI065,SI,65, , ,Loska dolina,652
671,Slovenia,SI066,SI,66, , ,Loski Potok,653
1536, , , , ,FR625,FR,Lot,1545
1530, , , , ,FR614,FR,Lot-et-Garonne,1539
1402, , , , ,EE008,EE,Louna-Eesti,1409
1330, , , , ,BG315,BG,Lovech,1330
1558, , , , ,FR814,FR,Lozere,1567
347,Poland,PLLU,PL,LU, , ,Lubelskie,654
946, , , , ,PL31,PL,Lubelskie,1251
952, , , , ,PL43,PL,Lubuskie,1257
348,Latvia,LVLU,LV,LU, , ,Ludzas Aprinkis,655
1404, , , , ,ES112,ES,Lugo,1411
672,Ukraine,UA09,UA,9, , ,Luhanska Oblast,656
872, , , , ,DE93,DE,Luneburg,1177
349,Luxembourg,LUL,LU,L, , ,Luxembourg,657
1717, , , , ,CH061,CH,Luzern,1373
338,Ukraine,UA46,UA,46, , ,Lvivska Oblast,600
673,Jordan,JOMN,JO,MN, , ,Maan,658
674,Serbia,RS08,RS,8, , ,Macva,659
675,Jordan,JOMD,JO,MD, , ,Madaba,660
1417, , , , ,ES300,ES,Madrid,1424
676,Cyprus,CY04,CY,4, , ,Magusa,661
677,Cyprus,CY04,CY,4, , ,Magusa,662
678,Tunisia,TN53,TN,53, , ,Mahdia,663
679,Tunisia,TN53,TN,53, , ,Mahdia,664
680,Belarus,BYMA,BY,MA, , ,Mahilyowskaya voblasts,665
1515, , , , ,FR512,FR,Maine-et-Loire,1524
1450, , , , ,ES617,ES,Malaga,1457
681,Turkey,TR44,TR,44, , ,Malatya,666
1299, , , , ,TRB1,TR,Malatya,1284
1442, , , , ,ES532,ES,Mallorca,1449
944, , , , ,PL21,PL,Malopolskie,1249
682,Malta,MT,MT, , , ,Malta,667
683,Malta,MT,MT, , , ,Malta,668
1496, , , , ,FR252,FR,Manche,1505
684,Kazakhstan,KZMAN,KZ,MAN, , ,Mangghystau oblysy,669
685,Kazakhstan,KZMAN,KZ,MAN, , ,Mangghystau oblysy,670
686,Kazakhstan,KZMAN,KZ,MAN, , ,Mangghystau oblysy,671
1283, , , , ,TR33,TR,Manisa,1268
687,Romania,ROMM,RO,MM, , ,Maramures,672
1636, , , , ,RO114,RO,Maramures,1659
688,Italy,IT57,IT,57, , ,Marche,673
928, , , , ,ITI3,IT,Marche,1233
689,Turkey,TR47,TR,47, , ,Mardin,674
1303, , , , ,TRC3,TR,Mardin,1288
690,Lithuania,LTMR,LT,MR, , ,Marijampoles Apskritis,675
1579, , , , ,LT004,LT,Marijampoles apskritis,1588
1482, , , , ,FR213,FR,Marne,1491
70,Morocco,MA11,MA,11, , ,Marrakech-Tensift-Al Haouz,65
1271,Algeria,DZ29,DZ,29, , ,Mascara,1126
691,Egypt,EGMT,EG,MT, , ,Matruh,676
692,Egypt,EGMT,EG,MT, , ,Matruh,677
693,The Former Yugoslav Republic of Macedonia,MK50,MK,50, , ,Mavrovo-i-Rostusa,678
1516, , , , ,FR513,FR,Mayenne,1525
694,Poland,PLMZ,PL,MZ, , ,Mazowieckie,679
943, , , , ,PL12,PL,Mazowieckie,1248
350,Germany,DEMV,DE,MV, , ,Mecklenburg-Vorpommern,680
351,Germany,DEMV,DE,MV, , ,Mecklenburg-Vorpommern,681
695,Germany,DEMV,DE,MV, , ,Mecklenburg-Vorpommern,682
696,Germany,DEMV,DE,MV, , ,Mecklenburg-Vorpommern,683
869, , , , ,DE80,DE,Mecklenburg-Vorpommern,1174
697,Algeria,DZ26,DZ,26, , ,Medea,684
698,Tunisia,TN82,TN,82, , ,Medenine,685
699,Tunisia,TN82,TN,82, , ,Medenine,686
700,Tunisia,TN82,TN,82, , ,Medenine,687
352,Croatia,HR20,HR,20, , ,Medimurska zupanija,688
1625, , , , ,PT16C,PT,Medio Tejo,1648
353,Romania,ROMH,RO,MH, , ,Mehedinti,689
1668, , , , ,RO413,RO,Mehedinti,1691
71,Morocco,MA06,MA,6, , ,Meknes-Tafilalet,66
72,Spain,ESML,ES,ML, , ,Melilla,67
73,Spain,ESML,ES,ML, , ,Melilla,68
1724, , , , ,ES640,ES,Melilla,1461
701,Malta,MT30,MT,30, , ,Mellieha,690
1443, , , , ,ES533,ES,Menorca,1450
967, , , , ,UKD7,UK,Merseyside,1295
702,Slovenia,SI073,SI,73, , ,Metlika,691
1504, , , , ,FR411,FR,Meurthe-et-Moselle,1513
1505, , , , ,FR412,FR,Meuse,1514
1572, , , , ,IE022,IE,Mid-East,1581
1272,France,FRN,FR,N, , ,Midi-Pyrenees,1127
1569, , , , ,IE012,IE,Midland,1578
354,Denmark,DK82,DK,82, , ,Midtjylland,692
703,Denmark,DK82,DK,82, , ,Midtjylland,693
704,Denmark,DK82,DK,82, , ,Midtjylland,694
1573, , , , ,IE023,IE,Mid-West,1582
705,Algeria,DZ43,DZ,43, , ,Mila,695
1605, , , , ,PT111,PT,Minho-Lima,1628
706,Belarus,BYMI,BY,MI, , ,Minskaya voblasts,696
707,Libya,LYMI,LY,MI, , ,Misratah,697
859, , , , ,DE25,DE,Mittelfranken,1164
708,Libya,LYMZ,LY,MZ, , ,Mizdah,698
718,Norway,NO15,NO,15, , ,Moere og Romsdal,708
719,Norway,NO15,NO,15, , ,Moere og Romsdal,709
720,Norway,NO15,NO,15, , ,Moere og Romsdal,710
709,Italy,IT67,IT,67, , ,Molise,699
914, , , , ,ITF2,IT,Molise,1219
710,Monaco,MC,MC, , , ,Monaco,700
711,Tunisia,TN52,TN,52, , ,Monastir,701
712,Tunisia,TN52,TN,52, , ,Monastir,702
713,Tunisia,TN52,TN,52, , ,Monastir,703
715,Bulgaria,BG12,BG,12, , ,Montana,705
1327, , , , ,BG312,BG,Montana,1327
716,Montenegro,ME,ME, , , ,Montenegro,706
